image_path,original_filename,class_id,x_center,y_center,width,height,modified_name,new_path
banana_dataset\train\images\musa-acuminata-overripe-9d459010-1d0a-11ec-89c6-d8c4975e38aa_jpg.rf.1745477247ac8f59a5fad83933827281.jpg,musa-acuminata-overripe-9d459010-1d0a-11ec-89c6-d8c4975e38aa_jpg.rf.1745477247ac8f59a5fad83933827281.jpg,0,0.4989583333333333,0.6236111111111111,0.9979166666666668,0.6527777777777778,img_0.jpg,processed_images\class_0\img_0.jpg
banana_dataset\train\images\musa-acuminata-overripe-9d6229db-1d0a-11ec-90a7-d8c4975e38aa_jpg.rf.79e5b66c1cf163067c2129bc802d06ed.jpg,musa-acuminata-overripe-9d6229db-1d0a-11ec-90a7-d8c4975e38aa_jpg.rf.79e5b66c1cf163067c2129bc802d06ed.jpg,0,0.5020833333333333,0.5819444444444445,0.8958333333333334,0.5583333333333333,img_1.jpg,processed_images\class_0\img_1.jpg
banana_dataset\train\images\musa-acuminata-overripe-9d648d3b-1d0a-11ec-8385-d8c4975e38aa_jpg.rf.3020c2e3ef040ee9765c2b0064daedd5.jpg,musa-acuminata-overripe-9d648d3b-1d0a-11ec-8385-d8c4975e38aa_jpg.rf.3020c2e3ef040ee9765c2b0064daedd5.jpg,0,0.4958333333333333,0.4097222222222222,0.8958333333333334,0.5638888888888889,img_2.jpg,processed_images\class_0\img_2.jpg
banana_dataset\train\images\musa-acuminata-overripe-9d9b5da1-1d0a-11ec-a47d-d8c4975e38aa_jpg.rf.b3d7a9dc57ba807d9ce0ac8b728f18ca.jpg,musa-acuminata-overripe-9d9b5da1-1d0a-11ec-a47d-d8c4975e38aa_jpg.rf.b3d7a9dc57ba807d9ce0ac8b728f18ca.jpg,0,0.4989583333333333,0.5,0.9979166666666668,0.6111111111111112,img_3.jpg,processed_images\class_0\img_3.jpg
banana_dataset\train\images\musa-acuminata-overripe-9dac0cb7-1d0a-11ec-83da-d8c4975e38aa_jpg.rf.6eceac7fa14c39e113b0879a50150ca4.jpg,musa-acuminata-overripe-9dac0cb7-1d0a-11ec-83da-d8c4975e38aa_jpg.rf.6eceac7fa14c39e113b0879a50150ca4.jpg,0,0.4989583333333333,0.4791666666666667,0.9979166666666668,0.9583333333333334,img_4.jpg,processed_images\class_0\img_4.jpg
banana_dataset\train\images\musa-acuminata-overripe-9e01da5f-1d0a-11ec-940d-d8c4975e38aa_jpg.rf.1d10e878cb37621ffb9601b5fe74e983.jpg,musa-acuminata-overripe-9e01da5f-1d0a-11ec-940d-d8c4975e38aa_jpg.rf.1d10e878cb37621ffb9601b5fe74e983.jpg,0,0.5166666666666667,0.4888888888888889,0.9375,0.5555555555555556,img_5.jpg,processed_images\class_0\img_5.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f24a172-1d0a-11ec-a12e-d8c4975e38aa_jpg.rf.d66a4d481d1817cd1affc8f516ca05bb.jpg,musa-acuminata-overripe-9f24a172-1d0a-11ec-a12e-d8c4975e38aa_jpg.rf.d66a4d481d1817cd1affc8f516ca05bb.jpg,0,0.4385416666666666,0.4111111111111111,0.8770833333333333,0.8222222222222222,img_6.jpg,processed_images\class_0\img_6.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f35509c-1d0a-11ec-9c9a-d8c4975e38aa_jpg.rf.b49e2dbe387bd26d235d3a5f434cc7dc.jpg,musa-acuminata-overripe-9f35509c-1d0a-11ec-9c9a-d8c4975e38aa_jpg.rf.b49e2dbe387bd26d235d3a5f434cc7dc.jpg,0,0.5,0.5263888888888889,0.9458333333333332,0.6194444444444445,img_7.jpg,processed_images\class_0\img_7.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f35509d-1d0a-11ec-b25e-d8c4975e38aa_jpg.rf.ee91af43bafd5ffed09b09db88e4e311.jpg,musa-acuminata-overripe-9f35509d-1d0a-11ec-b25e-d8c4975e38aa_jpg.rf.ee91af43bafd5ffed09b09db88e4e311.jpg,0,0.4989583333333333,0.4569444444444444,0.9979166666666668,0.9138888888888888,img_8.jpg,processed_images\class_0\img_8.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f3a14d6-1d0a-11ec-b59a-d8c4975e38aa_jpg.rf.f76f51a91685ecf0da7185b838dfcaaa.jpg,musa-acuminata-overripe-9f3a14d6-1d0a-11ec-b59a-d8c4975e38aa_jpg.rf.f76f51a91685ecf0da7185b838dfcaaa.jpg,0,0.446875,0.5694444444444444,0.4645833333333333,0.8555555555555555,img_9.jpg,processed_images\class_0\img_9.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f4d260f-1d0a-11ec-b0a9-d8c4975e38aa_jpg.rf.db3acf151b2697975bcbe14832ec571e.jpg,musa-acuminata-overripe-9f4d260f-1d0a-11ec-b0a9-d8c4975e38aa_jpg.rf.db3acf151b2697975bcbe14832ec571e.jpg,0,0.4989583333333333,0.55,0.9979166666666668,0.8944444444444445,img_10.jpg,processed_images\class_0\img_10.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f5b7313-1d0a-11ec-8b69-d8c4975e38aa_jpg.rf.9d423a48d093bba7b7139e85363b9d59.jpg,musa-acuminata-overripe-9f5b7313-1d0a-11ec-8b69-d8c4975e38aa_jpg.rf.9d423a48d093bba7b7139e85363b9d59.jpg,0,0.4947916666666667,0.4513888888888889,0.94375,0.5027777777777778,img_11.jpg,processed_images\class_0\img_11.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f5dd54f-1d0a-11ec-9a72-d8c4975e38aa_jpg.rf.8990abf83ba74284a7ad3bf8bfacd08b.jpg,musa-acuminata-overripe-9f5dd54f-1d0a-11ec-9a72-d8c4975e38aa_jpg.rf.8990abf83ba74284a7ad3bf8bfacd08b.jpg,0,0.4979166666666667,0.4458333333333333,0.5291666666666667,0.6527777777777778,img_12.jpg,processed_images\class_0\img_12.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f5dd550-1d0a-11ec-a41a-d8c4975e38aa_jpg.rf.f79221f82f7b0aa50f6777543c94b961.jpg,musa-acuminata-overripe-9f5dd550-1d0a-11ec-a41a-d8c4975e38aa_jpg.rf.f79221f82f7b0aa50f6777543c94b961.jpg,0,0.503125,0.4277777777777777,0.94375,0.4555555555555555,img_13.jpg,processed_images\class_0\img_13.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f6038ad-1d0a-11ec-9db0-d8c4975e38aa_jpg.rf.d422d2e9ada02bd27a541f0ec402f6a0.jpg,musa-acuminata-overripe-9f6038ad-1d0a-11ec-9db0-d8c4975e38aa_jpg.rf.d422d2e9ada02bd27a541f0ec402f6a0.jpg,0,0.4947916666666667,0.5625,0.94375,0.4583333333333333,img_14.jpg,processed_images\class_0\img_14.jpg
banana_dataset\train\images\musa-acuminata-overripe-9f629af9-1d0a-11ec-8533-d8c4975e38aa_jpg.rf.208af61772308e0d7bc22b6ad017eb95.jpg,musa-acuminata-overripe-9f629af9-1d0a-11ec-8533-d8c4975e38aa_jpg.rf.208af61772308e0d7bc22b6ad017eb95.jpg,0,0.4947916666666667,0.4333333333333333,0.94375,0.4666666666666667,img_15.jpg,processed_images\class_0\img_15.jpg
